[Step 1054] AvgLen: 117.11, AvgRew: 140.64, StdRew: 7.61, Time/Step: 0.0002
[Step 2067] AvgLen: 112.56, AvgRew: 148.20, StdRew: 9.34, Time/Step: 0.0002
[Step 3173] AvgLen: 110.60, AvgRew: 141.18, StdRew: 7.71, Time/Step: 0.0002
[Step 4255] AvgLen: 108.20, AvgRew: 140.84, StdRew: 11.62, Time/Step: 0.0002
[Step 5360] AvgLen: 110.50, AvgRew: 141.18, StdRew: 11.39, Time/Step: 0.0002
[Step 6491] AvgLen: 125.67, AvgRew: 132.29, StdRew: 15.64, Time/Step: 0.0002
[Step 7591] AvgLen: 122.22, AvgRew: 135.86, StdRew: 9.83, Time/Step: 0.0002
[Step 8623] AvgLen: 114.67, AvgRew: 148.15, StdRew: 15.06, Time/Step: 0.0002
[Step 9695] AvgLen: 119.11, AvgRew: 134.95, StdRew: 5.53, Time/Step: 0.0002
[Step 10766] AvgLen: 119.00, AvgRew: 136.76, StdRew: 16.29, Time/Step: 0.0002
[Step 11852] AvgLen: 120.67, AvgRew: 135.71, StdRew: 12.44, Time/Step: 0.0002
[Step 12905] AvgLen: 117.00, AvgRew: 141.78, StdRew: 7.54, Time/Step: 0.0002
[Step 14010] AvgLen: 110.50, AvgRew: 141.39, StdRew: 11.48, Time/Step: 0.0002
[Step 15063] AvgLen: 117.00, AvgRew: 140.38, StdRew: 7.59, Time/Step: 0.0002
[Step 16107] AvgLen: 116.00, AvgRew: 137.50, StdRew: 7.24, Time/Step: 0.0002
[Step 17170] AvgLen: 106.30, AvgRew: 138.90, StdRew: 12.52, Time/Step: 0.0002
[Step 18231] AvgLen: 117.89, AvgRew: 131.13, StdRew: 5.04, Time/Step: 0.0002
[Step 19286] AvgLen: 117.22, AvgRew: 135.16, StdRew: 5.81, Time/Step: 0.0002
[Step 20294] AvgLen: 112.00, AvgRew: 139.46, StdRew: 11.01, Time/Step: 0.0002
[Step 21312] AvgLen: 127.25, AvgRew: 137.48, StdRew: 10.17, Time/Step: 0.0002
[Step 22344] AvgLen: 114.67, AvgRew: 137.65, StdRew: 10.87, Time/Step: 0.0002
[Step 23374] AvgLen: 114.44, AvgRew: 142.87, StdRew: 14.59, Time/Step: 0.0002
[Step 24440] AvgLen: 118.44, AvgRew: 138.29, StdRew: 11.90, Time/Step: 0.0002
[Step 25498] AvgLen: 117.56, AvgRew: 132.95, StdRew: 4.70, Time/Step: 0.0002
[Step 26503] AvgLen: 111.67, AvgRew: 138.26, StdRew: 9.30, Time/Step: 0.0002
[Step 27535] AvgLen: 114.67, AvgRew: 135.80, StdRew: 8.94, Time/Step: 0.0002
[Step 28610] AvgLen: 119.44, AvgRew: 140.71, StdRew: 11.99, Time/Step: 0.0002
[Step 29627] AvgLen: 113.00, AvgRew: 137.11, StdRew: 12.08, Time/Step: 0.0002
[Step 30732] AvgLen: 110.50, AvgRew: 138.74, StdRew: 12.01, Time/Step: 0.0002
[Step 31741] AvgLen: 112.11, AvgRew: 145.59, StdRew: 10.28, Time/Step: 0.0002
[Step 32757] AvgLen: 127.00, AvgRew: 134.31, StdRew: 11.71, Time/Step: 0.0002
[Step 33829] AvgLen: 119.11, AvgRew: 141.66, StdRew: 9.36, Time/Step: 0.0002
[Step 34861] AvgLen: 114.67, AvgRew: 138.21, StdRew: 13.60, Time/Step: 0.0002
[Step 35938] AvgLen: 119.67, AvgRew: 126.62, StdRew: 10.27, Time/Step: 0.0002
[Step 36975] AvgLen: 129.62, AvgRew: 133.56, StdRew: 8.80, Time/Step: 0.0002
[Step 38094] AvgLen: 124.33, AvgRew: 139.11, StdRew: 10.00, Time/Step: 0.0002
[Step 39162] AvgLen: 118.67, AvgRew: 136.10, StdRew: 11.31, Time/Step: 0.0002
[Step 40238] AvgLen: 119.56, AvgRew: 133.14, StdRew: 5.64, Time/Step: 0.0002
[Step 41362] AvgLen: 112.40, AvgRew: 137.68, StdRew: 11.91, Time/Step: 0.0002
[Step 42388] AvgLen: 114.00, AvgRew: 135.01, StdRew: 10.95, Time/Step: 0.0002
[Step 43464] AvgLen: 119.56, AvgRew: 138.98, StdRew: 11.98, Time/Step: 0.0002
[Step 44551] AvgLen: 120.78, AvgRew: 134.50, StdRew: 12.01, Time/Step: 0.0002
[Step 45575] AvgLen: 113.78, AvgRew: 136.85, StdRew: 11.26, Time/Step: 0.0002
[Step 46629] AvgLen: 105.40, AvgRew: 137.99, StdRew: 8.44, Time/Step: 0.0002
[Step 47718] AvgLen: 121.00, AvgRew: 143.48, StdRew: 14.37, Time/Step: 0.0002
[Step 48839] AvgLen: 124.56, AvgRew: 135.93, StdRew: 12.21, Time/Step: 0.0002
[Step 49857] AvgLen: 113.11, AvgRew: 141.58, StdRew: 9.57, Time/Step: 0.0002
[Step 50947] AvgLen: 121.11, AvgRew: 141.37, StdRew: 9.25, Time/Step: 0.0002
[Step 52049] AvgLen: 122.44, AvgRew: 139.78, StdRew: 8.58, Time/Step: 0.0002
[Step 53101] AvgLen: 105.20, AvgRew: 135.81, StdRew: 10.81, Time/Step: 0.0002
[Step 54147] AvgLen: 116.22, AvgRew: 136.37, StdRew: 17.02, Time/Step: 0.0002
[Step 55201] AvgLen: 117.11, AvgRew: 134.87, StdRew: 4.15, Time/Step: 0.0002
[Step 56208] AvgLen: 111.89, AvgRew: 137.08, StdRew: 7.42, Time/Step: 0.0002
[Step 57260] AvgLen: 131.50, AvgRew: 135.72, StdRew: 15.81, Time/Step: 0.0002
[Step 58345] AvgLen: 108.50, AvgRew: 134.71, StdRew: 10.13, Time/Step: 0.0002
[Step 59382] AvgLen: 115.22, AvgRew: 134.18, StdRew: 12.96, Time/Step: 0.0002
[Step 60408] AvgLen: 114.00, AvgRew: 136.21, StdRew: 9.92, Time/Step: 0.0002
[Step 61410] AvgLen: 111.33, AvgRew: 136.31, StdRew: 8.35, Time/Step: 0.0002
[Step 62437] AvgLen: 114.11, AvgRew: 144.18, StdRew: 9.09, Time/Step: 0.0002
[Step 63514] AvgLen: 119.67, AvgRew: 137.46, StdRew: 7.56, Time/Step: 0.0002
[Step 64619] AvgLen: 122.78, AvgRew: 142.44, StdRew: 8.36, Time/Step: 0.0002
[Step 65698] AvgLen: 119.89, AvgRew: 136.76, StdRew: 5.55, Time/Step: 0.0002
[Step 66790] AvgLen: 121.33, AvgRew: 135.69, StdRew: 7.61, Time/Step: 0.0002
[Step 67925] AvgLen: 126.11, AvgRew: 140.79, StdRew: 8.08, Time/Step: 0.0002
[Step 68959] AvgLen: 114.89, AvgRew: 138.48, StdRew: 11.92, Time/Step: 0.0002
