[Step 1137] AvgLen: 113.70, AvgRew: 139.81, StdRew: 8.78, Time/Step: 0.0006
[Step 2155] AvgLen: 113.11, AvgRew: 141.30, StdRew: 11.19, Time/Step: 0.0006
[Step 3162] AvgLen: 111.89, AvgRew: 145.33, StdRew: 12.87, Time/Step: 0.0006
[Step 4202] AvgLen: 115.56, AvgRew: 136.17, StdRew: 12.28, Time/Step: 0.0006
[Step 5273] AvgLen: 107.10, AvgRew: 136.13, StdRew: 9.73, Time/Step: 0.0006
[Step 6314] AvgLen: 115.67, AvgRew: 143.00, StdRew: 10.09, Time/Step: 0.0006
[Step 7387] AvgLen: 119.22, AvgRew: 137.24, StdRew: 10.30, Time/Step: 0.0006
[Step 8510] AvgLen: 112.30, AvgRew: 146.76, StdRew: 8.71, Time/Step: 0.0006
[Step 9596] AvgLen: 120.67, AvgRew: 137.20, StdRew: 10.38, Time/Step: 0.0006
[Step 10682] AvgLen: 120.67, AvgRew: 139.74, StdRew: 11.92, Time/Step: 0.0006
[Step 11751] AvgLen: 118.78, AvgRew: 135.64, StdRew: 12.07, Time/Step: 0.0006
[Step 12820] AvgLen: 133.62, AvgRew: 131.47, StdRew: 10.47, Time/Step: 0.0006
[Step 13930] AvgLen: 123.33, AvgRew: 139.91, StdRew: 14.66, Time/Step: 0.0006
[Step 14998] AvgLen: 118.67, AvgRew: 136.77, StdRew: 8.26, Time/Step: 0.0006
[Step 16000] AvgLen: 125.25, AvgRew: 137.63, StdRew: 13.19, Time/Step: 0.0006
[Step 17081] AvgLen: 108.10, AvgRew: 139.18, StdRew: 12.54, Time/Step: 0.0006
[Step 18140] AvgLen: 117.67, AvgRew: 137.49, StdRew: 8.45, Time/Step: 0.0006
[Step 19183] AvgLen: 115.89, AvgRew: 140.76, StdRew: 7.90, Time/Step: 0.0006
[Step 20253] AvgLen: 118.89, AvgRew: 143.70, StdRew: 8.36, Time/Step: 0.0006
[Step 21297] AvgLen: 116.00, AvgRew: 143.71, StdRew: 6.63, Time/Step: 0.0006
[Step 22325] AvgLen: 114.22, AvgRew: 140.23, StdRew: 7.68, Time/Step: 0.0006
[Step 23380] AvgLen: 117.22, AvgRew: 140.24, StdRew: 6.56, Time/Step: 0.0006
[Step 24411] AvgLen: 114.56, AvgRew: 137.19, StdRew: 12.89, Time/Step: 0.0006
[Step 25434] AvgLen: 113.67, AvgRew: 145.05, StdRew: 8.59, Time/Step: 0.0006
[Step 26436] AvgLen: 111.33, AvgRew: 135.82, StdRew: 8.14, Time/Step: 0.0006
[Step 27530] AvgLen: 121.56, AvgRew: 134.10, StdRew: 10.45, Time/Step: 0.0006
[Step 28556] AvgLen: 114.00, AvgRew: 135.51, StdRew: 9.10, Time/Step: 0.0006
[Step 29665] AvgLen: 123.22, AvgRew: 136.43, StdRew: 9.58, Time/Step: 0.0006
[Step 30672] AvgLen: 111.89, AvgRew: 139.71, StdRew: 16.17, Time/Step: 0.0006
[Step 31732] AvgLen: 106.00, AvgRew: 144.35, StdRew: 7.37, Time/Step: 0.0006
[Step 32785] AvgLen: 117.00, AvgRew: 137.69, StdRew: 10.42, Time/Step: 0.0006
[Step 33914] AvgLen: 125.44, AvgRew: 137.74, StdRew: 11.15, Time/Step: 0.0006
[Step 34952] AvgLen: 115.33, AvgRew: 133.93, StdRew: 9.22, Time/Step: 0.0006
[Step 36044] AvgLen: 121.33, AvgRew: 132.16, StdRew: 10.16, Time/Step: 0.0006
[Step 37149] AvgLen: 122.78, AvgRew: 134.51, StdRew: 12.94, Time/Step: 0.0006
[Step 38236] AvgLen: 135.88, AvgRew: 137.78, StdRew: 6.90, Time/Step: 0.0006
[Step 39329] AvgLen: 121.44, AvgRew: 138.07, StdRew: 16.80, Time/Step: 0.0006
[Step 40415] AvgLen: 108.60, AvgRew: 141.82, StdRew: 8.06, Time/Step: 0.0006
[Step 41428] AvgLen: 112.56, AvgRew: 137.87, StdRew: 10.42, Time/Step: 0.0006
[Step 42470] AvgLen: 115.78, AvgRew: 136.31, StdRew: 14.36, Time/Step: 0.0006
[Step 43567] AvgLen: 121.89, AvgRew: 143.00, StdRew: 7.11, Time/Step: 0.0006
[Step 44595] AvgLen: 114.22, AvgRew: 134.07, StdRew: 10.46, Time/Step: 0.0006
[Step 45645] AvgLen: 116.67, AvgRew: 139.89, StdRew: 7.45, Time/Step: 0.0006
[Step 46695] AvgLen: 105.00, AvgRew: 139.51, StdRew: 10.43, Time/Step: 0.0006
[Step 47732] AvgLen: 129.62, AvgRew: 135.97, StdRew: 9.57, Time/Step: 0.0006
[Step 48849] AvgLen: 111.70, AvgRew: 141.13, StdRew: 11.54, Time/Step: 0.0006
[Step 49938] AvgLen: 121.00, AvgRew: 139.90, StdRew: 12.68, Time/Step: 0.0006
[Step 50969] AvgLen: 114.56, AvgRew: 141.00, StdRew: 14.17, Time/Step: 0.0006
[Step 52033] AvgLen: 118.22, AvgRew: 139.38, StdRew: 6.88, Time/Step: 0.0006
[Step 53115] AvgLen: 108.20, AvgRew: 138.74, StdRew: 7.25, Time/Step: 0.0006
[Step 54123] AvgLen: 112.00, AvgRew: 135.22, StdRew: 11.75, Time/Step: 0.0006
[Step 55202] AvgLen: 119.89, AvgRew: 130.74, StdRew: 6.27, Time/Step: 0.0006
[Step 56301] AvgLen: 109.90, AvgRew: 139.30, StdRew: 8.41, Time/Step: 0.0006
[Step 57305] AvgLen: 125.50, AvgRew: 140.15, StdRew: 12.01, Time/Step: 0.0006
[Step 58318] AvgLen: 112.56, AvgRew: 137.20, StdRew: 9.51, Time/Step: 0.0006
[Step 59322] AvgLen: 125.50, AvgRew: 136.87, StdRew: 9.38, Time/Step: 0.0006
[Step 60352] AvgLen: 114.44, AvgRew: 136.50, StdRew: 11.54, Time/Step: 0.0006
[Step 61410] AvgLen: 105.80, AvgRew: 139.72, StdRew: 9.87, Time/Step: 0.0006
[Step 62499] AvgLen: 121.00, AvgRew: 137.54, StdRew: 6.45, Time/Step: 0.0007
[Step 63501] AvgLen: 125.25, AvgRew: 132.85, StdRew: 12.27, Time/Step: 0.0007
[Step 64577] AvgLen: 119.56, AvgRew: 138.75, StdRew: 8.54, Time/Step: 0.0006
[Step 65593] AvgLen: 112.89, AvgRew: 135.68, StdRew: 11.45, Time/Step: 0.0006
[Step 66659] AvgLen: 118.44, AvgRew: 140.78, StdRew: 12.16, Time/Step: 0.0006
[Step 67701] AvgLen: 115.78, AvgRew: 139.97, StdRew: 11.99, Time/Step: 0.0006
[Step 68735] AvgLen: 114.89, AvgRew: 135.32, StdRew: 13.42, Time/Step: 0.0006
[Step 69849] AvgLen: 111.40, AvgRew: 143.40, StdRew: 11.98, Time/Step: 0.0006
[Step 70919] AvgLen: 118.89, AvgRew: 142.01, StdRew: 13.87, Time/Step: 0.0006
[Step 71986] AvgLen: 118.56, AvgRew: 146.34, StdRew: 10.55, Time/Step: 0.0006
[Step 73091] AvgLen: 110.50, AvgRew: 139.20, StdRew: 9.64, Time/Step: 0.0006
[Step 74174] AvgLen: 120.33, AvgRew: 143.56, StdRew: 8.01, Time/Step: 0.0006
[Step 75212] AvgLen: 115.33, AvgRew: 133.28, StdRew: 10.97, Time/Step: 0.0006
[Step 76299] AvgLen: 120.78, AvgRew: 141.56, StdRew: 10.84, Time/Step: 0.0006
[Step 77401] AvgLen: 122.44, AvgRew: 135.55, StdRew: 13.59, Time/Step: 0.0006
[Step 78430] AvgLen: 114.33, AvgRew: 134.53, StdRew: 9.15, Time/Step: 0.0006
[Step 79437] AvgLen: 125.88, AvgRew: 138.19, StdRew: 8.80, Time/Step: 0.0006
[Step 80467] AvgLen: 114.44, AvgRew: 136.39, StdRew: 11.33, Time/Step: 0.0006
[Step 81540] AvgLen: 107.30, AvgRew: 139.92, StdRew: 7.92, Time/Step: 0.0006
[Step 82617] AvgLen: 107.70, AvgRew: 140.12, StdRew: 13.26, Time/Step: 0.0006
[Step 83674] AvgLen: 105.70, AvgRew: 139.71, StdRew: 9.22, Time/Step: 0.0006
[Step 84739] AvgLen: 118.33, AvgRew: 138.00, StdRew: 12.19, Time/Step: 0.0006
[Step 85838] AvgLen: 109.90, AvgRew: 139.27, StdRew: 10.92, Time/Step: 0.0006
[Step 86918] AvgLen: 108.00, AvgRew: 134.46, StdRew: 8.55, Time/Step: 0.0006
