[Step 2072] AvgLen: 94.18, AvgRew: 135.07, StdRew: 13.71, Time/Step: 0.0002
[Step 4113] AvgLen: 102.05, AvgRew: 139.25, StdRew: 14.32, Time/Step: 0.0002
[Step 6128] AvgLen: 106.05, AvgRew: 140.06, StdRew: 10.17, Time/Step: 0.0002
[Step 8148] AvgLen: 106.32, AvgRew: 135.51, StdRew: 14.82, Time/Step: 0.0002
[Step 10187] AvgLen: 101.95, AvgRew: 132.46, StdRew: 12.41, Time/Step: 0.0002
[Step 12276] AvgLen: 104.45, AvgRew: 135.96, StdRew: 13.81, Time/Step: 0.0002
[Step 14301] AvgLen: 96.43, AvgRew: 134.97, StdRew: 11.66, Time/Step: 0.0002
[Step 16348] AvgLen: 107.74, AvgRew: 130.59, StdRew: 19.12, Time/Step: 0.0002
[Step 18388] AvgLen: 107.37, AvgRew: 140.00, StdRew: 15.72, Time/Step: 0.0002
[Step 20495] AvgLen: 117.06, AvgRew: 136.25, StdRew: 18.79, Time/Step: 0.0002
[Step 22635] AvgLen: 101.90, AvgRew: 135.40, StdRew: 16.96, Time/Step: 0.0002
[Step 24704] AvgLen: 108.89, AvgRew: 135.04, StdRew: 19.43, Time/Step: 0.0002
[Step 26763] AvgLen: 108.37, AvgRew: 135.28, StdRew: 14.10, Time/Step: 0.0002
[Step 28798] AvgLen: 119.71, AvgRew: 127.75, StdRew: 18.48, Time/Step: 0.0002
[Step 30848] AvgLen: 107.89, AvgRew: 131.16, StdRew: 13.38, Time/Step: 0.0002
[Step 32877] AvgLen: 106.79, AvgRew: 136.40, StdRew: 15.55, Time/Step: 0.0002
[Step 35010] AvgLen: 106.65, AvgRew: 135.63, StdRew: 12.53, Time/Step: 0.0002
[Step 37091] AvgLen: 104.05, AvgRew: 139.48, StdRew: 16.68, Time/Step: 0.0002
[Step 39226] AvgLen: 112.37, AvgRew: 132.51, StdRew: 11.89, Time/Step: 0.0002
[Step 41245] AvgLen: 100.95, AvgRew: 132.12, StdRew: 13.63, Time/Step: 0.0002
[Step 43312] AvgLen: 93.95, AvgRew: 134.35, StdRew: 10.95, Time/Step: 0.0002
[Step 45384] AvgLen: 103.60, AvgRew: 134.13, StdRew: 16.79, Time/Step: 0.0002
[Step 47482] AvgLen: 99.90, AvgRew: 136.04, StdRew: 16.62, Time/Step: 0.0002
[Step 49594] AvgLen: 100.57, AvgRew: 136.37, StdRew: 12.94, Time/Step: 0.0002
[Step 51613] AvgLen: 112.17, AvgRew: 138.33, StdRew: 14.00, Time/Step: 0.0002
[Step 53672] AvgLen: 102.95, AvgRew: 138.49, StdRew: 12.32, Time/Step: 0.0002
[Step 55687] AvgLen: 118.53, AvgRew: 129.29, StdRew: 21.92, Time/Step: 0.0002
[Step 57723] AvgLen: 101.80, AvgRew: 137.26, StdRew: 16.41, Time/Step: 0.0002
[Step 59786] AvgLen: 103.15, AvgRew: 132.87, StdRew: 15.70, Time/Step: 0.0002
[Step 61858] AvgLen: 109.05, AvgRew: 138.70, StdRew: 16.24, Time/Step: 0.0002
[Step 63908] AvgLen: 107.89, AvgRew: 135.51, StdRew: 22.52, Time/Step: 0.0002
[Step 65945] AvgLen: 101.85, AvgRew: 139.01, StdRew: 14.52, Time/Step: 0.0002
[Step 67946] AvgLen: 100.05, AvgRew: 136.96, StdRew: 11.85, Time/Step: 0.0002
