[Step 2025] AvgLen: 88.04, AvgRew: 130.06, StdRew: 14.34, Time/Step: 0.0003
[Step 4116] AvgLen: 95.05, AvgRew: 131.50, StdRew: 16.40, Time/Step: 0.0003
[Step 6140] AvgLen: 106.53, AvgRew: 155.89, StdRew: 29.30, Time/Step: 0.0003
[Step 8143] AvgLen: 125.19, AvgRew: 176.44, StdRew: 43.09, Time/Step: 0.0003
[Step 10199] AvgLen: 114.22, AvgRew: 140.88, StdRew: 28.27, Time/Step: 0.0003
[Step 12244] AvgLen: 107.63, AvgRew: 144.73, StdRew: 27.06, Time/Step: 0.0003
[Step 14311] AvgLen: 121.59, AvgRew: 169.85, StdRew: 41.29, Time/Step: 0.0003
[Step 16366] AvgLen: 102.75, AvgRew: 126.12, StdRew: 20.02, Time/Step: 0.0003
[Step 18418] AvgLen: 108.00, AvgRew: 146.34, StdRew: 30.50, Time/Step: 0.0003
[Step 20439] AvgLen: 126.31, AvgRew: 145.97, StdRew: 42.87, Time/Step: 0.0003
[Step 22522] AvgLen: 130.19, AvgRew: 197.57, StdRew: 49.05, Time/Step: 0.0003
[Step 24641] AvgLen: 124.65, AvgRew: 163.39, StdRew: 36.79, Time/Step: 0.0003
[Step 26713] AvgLen: 115.11, AvgRew: 144.76, StdRew: 26.98, Time/Step: 0.0003
[Step 28834] AvgLen: 111.63, AvgRew: 144.47, StdRew: 19.39, Time/Step: 0.0003
[Step 30927] AvgLen: 123.12, AvgRew: 147.04, StdRew: 34.70, Time/Step: 0.0003
[Step 32938] AvgLen: 105.84, AvgRew: 131.52, StdRew: 19.47, Time/Step: 0.0003
[Step 34989] AvgLen: 107.95, AvgRew: 133.69, StdRew: 21.55, Time/Step: 0.0003
[Step 37094] AvgLen: 110.79, AvgRew: 135.28, StdRew: 22.84, Time/Step: 0.0003
[Step 39116] AvgLen: 106.42, AvgRew: 141.52, StdRew: 21.19, Time/Step: 0.0003
[Step 41178] AvgLen: 114.56, AvgRew: 142.81, StdRew: 24.98, Time/Step: 0.0003
