[Step 2067] AvgLen: 79.50, AvgRew: 131.64, StdRew: 12.77, Time/Step: 0.0005
[Step 4140] AvgLen: 86.38, AvgRew: 142.57, StdRew: 16.82, Time/Step: 0.0005
[Step 6231] AvgLen: 95.05, AvgRew: 150.68, StdRew: 20.94, Time/Step: 0.0005
[Step 8280] AvgLen: 97.57, AvgRew: 140.77, StdRew: 14.76, Time/Step: 0.0005
[Step 10368] AvgLen: 94.91, AvgRew: 148.24, StdRew: 15.53, Time/Step: 0.0005
[Step 12392] AvgLen: 84.33, AvgRew: 146.45, StdRew: 16.64, Time/Step: 0.0006
[Step 14444] AvgLen: 93.27, AvgRew: 145.38, StdRew: 17.55, Time/Step: 0.0005
[Step 16471] AvgLen: 92.14, AvgRew: 153.39, StdRew: 22.29, Time/Step: 0.0006
[Step 18504] AvgLen: 112.94, AvgRew: 161.09, StdRew: 27.94, Time/Step: 0.0005
[Step 20569] AvgLen: 93.86, AvgRew: 155.21, StdRew: 26.86, Time/Step: 0.0005
[Step 22583] AvgLen: 91.55, AvgRew: 143.49, StdRew: 16.88, Time/Step: 0.0005
[Step 24612] AvgLen: 101.45, AvgRew: 150.48, StdRew: 25.94, Time/Step: 0.0006
[Step 26646] AvgLen: 96.86, AvgRew: 139.27, StdRew: 24.53, Time/Step: 0.0005
[Step 28700] AvgLen: 93.36, AvgRew: 144.28, StdRew: 18.05, Time/Step: 0.0005
[Step 30814] AvgLen: 96.09, AvgRew: 149.41, StdRew: 22.44, Time/Step: 0.0005
[Step 32839] AvgLen: 96.43, AvgRew: 152.07, StdRew: 21.42, Time/Step: 0.0005
[Step 34883] AvgLen: 92.91, AvgRew: 147.72, StdRew: 24.69, Time/Step: 0.0005
[Step 36921] AvgLen: 92.64, AvgRew: 149.34, StdRew: 26.43, Time/Step: 0.0005
[Step 38975] AvgLen: 82.16, AvgRew: 147.02, StdRew: 21.08, Time/Step: 0.0005
[Step 41022] AvgLen: 102.35, AvgRew: 154.63, StdRew: 24.92, Time/Step: 0.0005
[Step 43082] AvgLen: 93.64, AvgRew: 145.82, StdRew: 21.23, Time/Step: 0.0005
[Step 45141] AvgLen: 89.52, AvgRew: 144.98, StdRew: 22.57, Time/Step: 0.0005
[Step 47209] AvgLen: 86.17, AvgRew: 144.40, StdRew: 20.78, Time/Step: 0.0005
[Step 49242] AvgLen: 101.65, AvgRew: 151.61, StdRew: 30.76, Time/Step: 0.0005
[Step 51292] AvgLen: 93.18, AvgRew: 154.24, StdRew: 22.21, Time/Step: 0.0006
[Step 53388] AvgLen: 91.13, AvgRew: 149.67, StdRew: 22.05, Time/Step: 0.0006
[Step 55391] AvgLen: 100.15, AvgRew: 152.76, StdRew: 27.06, Time/Step: 0.0006
[Step 57471] AvgLen: 94.55, AvgRew: 153.12, StdRew: 22.60, Time/Step: 0.0006
[Step 59515] AvgLen: 92.91, AvgRew: 156.17, StdRew: 25.96, Time/Step: 0.0005
[Step 61570] AvgLen: 93.41, AvgRew: 149.33, StdRew: 29.44, Time/Step: 0.0005
[Step 63594] AvgLen: 88.00, AvgRew: 143.18, StdRew: 26.81, Time/Step: 0.0005
[Step 65639] AvgLen: 92.95, AvgRew: 146.30, StdRew: 24.80, Time/Step: 0.0005
[Step 67726] AvgLen: 99.38, AvgRew: 152.11, StdRew: 25.81, Time/Step: 0.0005
[Step 69799] AvgLen: 103.65, AvgRew: 153.98, StdRew: 25.24, Time/Step: 0.0006
[Step 71891] AvgLen: 87.17, AvgRew: 149.71, StdRew: 25.17, Time/Step: 0.0006
[Step 73911] AvgLen: 91.82, AvgRew: 141.30, StdRew: 20.49, Time/Step: 0.0006
[Step 75999] AvgLen: 104.40, AvgRew: 143.97, StdRew: 24.62, Time/Step: 0.0006
[Step 78080] AvgLen: 99.10, AvgRew: 153.36, StdRew: 32.14, Time/Step: 0.0006
[Step 80125] AvgLen: 92.95, AvgRew: 144.46, StdRew: 24.95, Time/Step: 0.0005
[Step 82190] AvgLen: 98.33, AvgRew: 155.29, StdRew: 28.24, Time/Step: 0.0005
[Step 84223] AvgLen: 96.81, AvgRew: 156.67, StdRew: 29.05, Time/Step: 0.0006
[Step 86332] AvgLen: 111.00, AvgRew: 153.96, StdRew: 31.11, Time/Step: 0.0006
[Step 88413] AvgLen: 104.05, AvgRew: 153.57, StdRew: 27.28, Time/Step: 0.0006
