[Step 2059] AvgLen: 93.59, AvgRew: 134.28, StdRew: 13.25, Time/Step: 0.0003
[Step 4082] AvgLen: 96.33, AvgRew: 139.25, StdRew: 11.14, Time/Step: 0.0003
[Step 6137] AvgLen: 102.75, AvgRew: 141.15, StdRew: 12.50, Time/Step: 0.0002
[Step 8194] AvgLen: 97.95, AvgRew: 133.97, StdRew: 13.13, Time/Step: 0.0002
[Step 10259] AvgLen: 103.25, AvgRew: 131.44, StdRew: 10.61, Time/Step: 0.0002
[Step 12276] AvgLen: 112.06, AvgRew: 134.04, StdRew: 12.23, Time/Step: 0.0002
[Step 14295] AvgLen: 96.14, AvgRew: 137.52, StdRew: 12.08, Time/Step: 0.0002
[Step 16357] AvgLen: 103.10, AvgRew: 138.27, StdRew: 14.27, Time/Step: 0.0002
[Step 18431] AvgLen: 115.22, AvgRew: 137.11, StdRew: 15.48, Time/Step: 0.0002
[Step 20507] AvgLen: 115.33, AvgRew: 141.81, StdRew: 21.21, Time/Step: 0.0002
[Step 22516] AvgLen: 105.74, AvgRew: 136.06, StdRew: 16.45, Time/Step: 0.0002
[Step 24560] AvgLen: 102.20, AvgRew: 132.54, StdRew: 13.61, Time/Step: 0.0002
[Step 26689] AvgLen: 106.45, AvgRew: 131.30, StdRew: 16.62, Time/Step: 0.0002
[Step 28790] AvgLen: 110.58, AvgRew: 133.40, StdRew: 13.51, Time/Step: 0.0002
[Step 30803] AvgLen: 111.83, AvgRew: 132.23, StdRew: 11.15, Time/Step: 0.0002
[Step 32826] AvgLen: 112.39, AvgRew: 136.42, StdRew: 18.92, Time/Step: 0.0002
[Step 34895] AvgLen: 103.45, AvgRew: 137.44, StdRew: 14.95, Time/Step: 0.0002
[Step 36955] AvgLen: 103.00, AvgRew: 138.12, StdRew: 17.30, Time/Step: 0.0002
[Step 39019] AvgLen: 108.63, AvgRew: 131.11, StdRew: 14.88, Time/Step: 0.0002
[Step 41082] AvgLen: 103.15, AvgRew: 133.10, StdRew: 16.21, Time/Step: 0.0002
[Step 43130] AvgLen: 102.40, AvgRew: 132.57, StdRew: 13.05, Time/Step: 0.0002
[Step 45242] AvgLen: 105.60, AvgRew: 132.39, StdRew: 12.25, Time/Step: 0.0002
[Step 47276] AvgLen: 107.05, AvgRew: 131.96, StdRew: 16.01, Time/Step: 0.0002
[Step 49356] AvgLen: 94.55, AvgRew: 139.43, StdRew: 11.93, Time/Step: 0.0002
[Step 51369] AvgLen: 105.95, AvgRew: 137.44, StdRew: 16.15, Time/Step: 0.0002
[Step 53377] AvgLen: 100.40, AvgRew: 134.59, StdRew: 10.84, Time/Step: 0.0002
[Step 55377] AvgLen: 117.65, AvgRew: 128.58, StdRew: 15.65, Time/Step: 0.0002
[Step 57403] AvgLen: 101.30, AvgRew: 135.65, StdRew: 13.81, Time/Step: 0.0002
[Step 59518] AvgLen: 100.71, AvgRew: 138.07, StdRew: 12.90, Time/Step: 0.0002
[Step 61540] AvgLen: 112.33, AvgRew: 139.08, StdRew: 15.58, Time/Step: 0.0002
[Step 63616] AvgLen: 103.80, AvgRew: 139.25, StdRew: 15.20, Time/Step: 0.0002
[Step 65665] AvgLen: 102.45, AvgRew: 142.79, StdRew: 16.50, Time/Step: 0.0002
[Step 67707] AvgLen: 102.10, AvgRew: 142.25, StdRew: 14.74, Time/Step: 0.0002
[Step 69757] AvgLen: 102.50, AvgRew: 128.63, StdRew: 14.19, Time/Step: 0.0002
[Step 71833] AvgLen: 98.86, AvgRew: 134.25, StdRew: 12.64, Time/Step: 0.0002
[Step 73922] AvgLen: 104.45, AvgRew: 135.08, StdRew: 18.78, Time/Step: 0.0002
[Step 75941] AvgLen: 100.95, AvgRew: 141.22, StdRew: 13.69, Time/Step: 0.0002
[Step 78008] AvgLen: 103.35, AvgRew: 141.77, StdRew: 14.15, Time/Step: 0.0002
[Step 80084] AvgLen: 98.86, AvgRew: 138.77, StdRew: 15.31, Time/Step: 0.0002
[Step 82160] AvgLen: 98.86, AvgRew: 132.42, StdRew: 13.41, Time/Step: 0.0002
[Step 84172] AvgLen: 105.89, AvgRew: 134.55, StdRew: 16.85, Time/Step: 0.0002
[Step 86235] AvgLen: 103.15, AvgRew: 140.19, StdRew: 18.36, Time/Step: 0.0002
[Step 88300] AvgLen: 103.25, AvgRew: 134.06, StdRew: 15.51, Time/Step: 0.0003
[Step 90383] AvgLen: 109.63, AvgRew: 130.94, StdRew: 16.07, Time/Step: 0.0003
[Step 92423] AvgLen: 102.00, AvgRew: 141.64, StdRew: 16.03, Time/Step: 0.0003
[Step 94470] AvgLen: 120.41, AvgRew: 134.03, StdRew: 22.06, Time/Step: 0.0003
[Step 96525] AvgLen: 120.88, AvgRew: 135.74, StdRew: 15.15, Time/Step: 0.0003
[Step 98604] AvgLen: 109.42, AvgRew: 138.88, StdRew: 13.17, Time/Step: 0.0003
[Step 100627] AvgLen: 106.47, AvgRew: 138.19, StdRew: 15.32, Time/Step: 0.0003
[Step 102655] AvgLen: 96.57, AvgRew: 141.75, StdRew: 16.12, Time/Step: 0.0003
[Step 104685] AvgLen: 96.67, AvgRew: 135.26, StdRew: 16.21, Time/Step: 0.0002
[Step 106748] AvgLen: 93.77, AvgRew: 142.00, StdRew: 12.16, Time/Step: 0.0002
[Step 108763] AvgLen: 106.05, AvgRew: 132.85, StdRew: 15.03, Time/Step: 0.0002
[Step 110771] AvgLen: 100.40, AvgRew: 129.93, StdRew: 13.15, Time/Step: 0.0002
[Step 112819] AvgLen: 102.40, AvgRew: 136.53, StdRew: 16.54, Time/Step: 0.0002
[Step 114830] AvgLen: 111.72, AvgRew: 135.62, StdRew: 14.87, Time/Step: 0.0002
[Step 116906] AvgLen: 98.86, AvgRew: 139.90, StdRew: 16.87, Time/Step: 0.0002
[Step 118911] AvgLen: 95.48, AvgRew: 134.75, StdRew: 14.99, Time/Step: 0.0002
[Step 121030] AvgLen: 111.53, AvgRew: 134.18, StdRew: 16.06, Time/Step: 0.0002
[Step 123070] AvgLen: 102.00, AvgRew: 135.81, StdRew: 15.10, Time/Step: 0.0002
[Step 125074] AvgLen: 95.43, AvgRew: 133.54, StdRew: 13.71, Time/Step: 0.0002
[Step 127152] AvgLen: 98.95, AvgRew: 132.16, StdRew: 11.73, Time/Step: 0.0002
[Step 129261] AvgLen: 95.86, AvgRew: 137.65, StdRew: 15.60, Time/Step: 0.0002
[Step 131274] AvgLen: 105.95, AvgRew: 130.68, StdRew: 17.02, Time/Step: 0.0002
[Step 133297] AvgLen: 101.15, AvgRew: 136.29, StdRew: 13.39, Time/Step: 0.0002
[Step 135343] AvgLen: 93.00, AvgRew: 139.37, StdRew: 15.63, Time/Step: 0.0002
[Step 137422] AvgLen: 99.00, AvgRew: 133.63, StdRew: 15.36, Time/Step: 0.0002
[Step 139425] AvgLen: 105.42, AvgRew: 133.09, StdRew: 18.18, Time/Step: 0.0002
[Step 141445] AvgLen: 112.22, AvgRew: 132.20, StdRew: 18.03, Time/Step: 0.0002
[Step 143453] AvgLen: 105.68, AvgRew: 136.75, StdRew: 14.39, Time/Step: 0.0002
[Step 145525] AvgLen: 109.05, AvgRew: 136.37, StdRew: 13.63, Time/Step: 0.0002
[Step 147544] AvgLen: 106.26, AvgRew: 133.18, StdRew: 14.72, Time/Step: 0.0002
[Step 149631] AvgLen: 99.38, AvgRew: 137.65, StdRew: 10.81, Time/Step: 0.0002
[Step 151652] AvgLen: 118.88, AvgRew: 133.27, StdRew: 18.78, Time/Step: 0.0002
[Step 153704] AvgLen: 102.60, AvgRew: 131.93, StdRew: 14.65, Time/Step: 0.0002
[Step 155779] AvgLen: 98.81, AvgRew: 139.69, StdRew: 15.05, Time/Step: 0.0002
[Step 157801] AvgLen: 101.10, AvgRew: 135.09, StdRew: 13.19, Time/Step: 0.0002
[Step 159825] AvgLen: 101.20, AvgRew: 135.81, StdRew: 11.94, Time/Step: 0.0002
[Step 161871] AvgLen: 113.67, AvgRew: 129.64, StdRew: 17.97, Time/Step: 0.0002
[Step 163970] AvgLen: 104.95, AvgRew: 140.65, StdRew: 15.11, Time/Step: 0.0002
[Step 166072] AvgLen: 100.10, AvgRew: 133.35, StdRew: 12.19, Time/Step: 0.0002
[Step 168120] AvgLen: 102.40, AvgRew: 135.78, StdRew: 14.33, Time/Step: 0.0002
[Step 170199] AvgLen: 99.00, AvgRew: 134.10, StdRew: 12.92, Time/Step: 0.0002
[Step 172277] AvgLen: 98.95, AvgRew: 134.12, StdRew: 18.66, Time/Step: 0.0002
[Step 174371] AvgLen: 104.70, AvgRew: 137.90, StdRew: 18.14, Time/Step: 0.0002
[Step 176386] AvgLen: 106.05, AvgRew: 135.87, StdRew: 16.47, Time/Step: 0.0002
[Step 178495] AvgLen: 111.00, AvgRew: 138.80, StdRew: 13.60, Time/Step: 0.0002
[Step 180534] AvgLen: 113.28, AvgRew: 135.58, StdRew: 13.30, Time/Step: 0.0002
[Step 182572] AvgLen: 97.05, AvgRew: 141.38, StdRew: 10.03, Time/Step: 0.0002
[Step 184650] AvgLen: 98.95, AvgRew: 135.12, StdRew: 13.17, Time/Step: 0.0002
[Step 186783] AvgLen: 101.57, AvgRew: 139.54, StdRew: 17.69, Time/Step: 0.0002
[Step 188863] AvgLen: 104.00, AvgRew: 135.29, StdRew: 17.24, Time/Step: 0.0002
[Step 190885] AvgLen: 106.42, AvgRew: 134.24, StdRew: 14.82, Time/Step: 0.0002
[Step 192916] AvgLen: 101.55, AvgRew: 131.80, StdRew: 15.86, Time/Step: 0.0002
[Step 194950] AvgLen: 96.86, AvgRew: 138.32, StdRew: 12.02, Time/Step: 0.0002
[Step 196961] AvgLen: 105.84, AvgRew: 131.38, StdRew: 11.75, Time/Step: 0.0002
[Step 199084] AvgLen: 96.50, AvgRew: 136.64, StdRew: 11.89, Time/Step: 0.0002
[Step 201104] AvgLen: 106.32, AvgRew: 132.15, StdRew: 16.32, Time/Step: 0.0002
[Step 203170] AvgLen: 114.78, AvgRew: 138.96, StdRew: 17.33, Time/Step: 0.0002
[Step 205230] AvgLen: 93.64, AvgRew: 137.77, StdRew: 13.70, Time/Step: 0.0002
