[Step 2012] AvgLen: 95.81, AvgRew: 131.59, StdRew: 16.99, Time/Step: 0.0014
[Step 4052] AvgLen: 97.14, AvgRew: 143.11, StdRew: 15.43, Time/Step: 0.0014
[Step 6052] AvgLen: 105.26, AvgRew: 146.15, StdRew: 16.82, Time/Step: 0.0014
[Step 8194] AvgLen: 107.10, AvgRew: 138.88, StdRew: 18.07, Time/Step: 0.0014
[Step 10276] AvgLen: 115.67, AvgRew: 133.09, StdRew: 15.65, Time/Step: 0.0014
[Step 12313] AvgLen: 107.21, AvgRew: 150.48, StdRew: 17.58, Time/Step: 0.0014
[Step 14376] AvgLen: 108.58, AvgRew: 145.91, StdRew: 19.03, Time/Step: 0.0015
[Step 16493] AvgLen: 111.42, AvgRew: 131.83, StdRew: 23.36, Time/Step: 0.0015
[Step 18594] AvgLen: 116.72, AvgRew: 153.45, StdRew: 18.36, Time/Step: 0.0015
[Step 20691] AvgLen: 123.35, AvgRew: 151.67, StdRew: 28.47, Time/Step: 0.0015
[Step 22742] AvgLen: 120.65, AvgRew: 162.52, StdRew: 27.53, Time/Step: 0.0014
[Step 24825] AvgLen: 109.63, AvgRew: 155.32, StdRew: 24.65, Time/Step: 0.0014
[Step 26906] AvgLen: 109.53, AvgRew: 142.34, StdRew: 22.41, Time/Step: 0.0014
[Step 29024] AvgLen: 124.59, AvgRew: 146.59, StdRew: 24.92, Time/Step: 0.0014
[Step 31083] AvgLen: 128.69, AvgRew: 143.65, StdRew: 30.37, Time/Step: 0.0014
[Step 33089] AvgLen: 118.00, AvgRew: 142.40, StdRew: 20.67, Time/Step: 0.0015
[Step 35148] AvgLen: 114.39, AvgRew: 146.94, StdRew: 22.43, Time/Step: 0.0015
[Step 37192] AvgLen: 113.56, AvgRew: 147.28, StdRew: 19.51, Time/Step: 0.0014
[Step 39245] AvgLen: 114.06, AvgRew: 154.99, StdRew: 18.28, Time/Step: 0.0014
[Step 41344] AvgLen: 116.61, AvgRew: 143.24, StdRew: 17.48, Time/Step: 0.0014
[Step 43433] AvgLen: 116.06, AvgRew: 142.05, StdRew: 23.98, Time/Step: 0.0014
[Step 45493] AvgLen: 114.44, AvgRew: 145.43, StdRew: 19.28, Time/Step: 0.0014
[Step 47506] AvgLen: 105.95, AvgRew: 149.22, StdRew: 25.35, Time/Step: 0.0014
[Step 49558] AvgLen: 120.71, AvgRew: 147.08, StdRew: 20.28, Time/Step: 0.0015
[Step 51618] AvgLen: 114.44, AvgRew: 149.34, StdRew: 28.14, Time/Step: 0.0014
[Step 53693] AvgLen: 115.28, AvgRew: 147.38, StdRew: 24.84, Time/Step: 0.0014
[Step 55712] AvgLen: 118.76, AvgRew: 141.21, StdRew: 21.04, Time/Step: 0.0014
[Step 57712] AvgLen: 111.11, AvgRew: 145.23, StdRew: 22.10, Time/Step: 0.0015
[Step 59725] AvgLen: 125.81, AvgRew: 138.90, StdRew: 28.77, Time/Step: 0.0014
[Step 61796] AvgLen: 115.06, AvgRew: 145.56, StdRew: 18.50, Time/Step: 0.0014
[Step 63889] AvgLen: 116.28, AvgRew: 149.87, StdRew: 25.31, Time/Step: 0.0014
[Step 65934] AvgLen: 113.61, AvgRew: 154.52, StdRew: 24.06, Time/Step: 0.0015
[Step 67987] AvgLen: 120.76, AvgRew: 157.42, StdRew: 29.25, Time/Step: 0.0014
[Step 69990] AvgLen: 111.28, AvgRew: 153.56, StdRew: 25.05, Time/Step: 0.0014
[Step 72088] AvgLen: 110.42, AvgRew: 162.68, StdRew: 20.73, Time/Step: 0.0014
[Step 74329] AvgLen: 117.95, AvgRew: 155.15, StdRew: 29.84, Time/Step: 0.0014
[Step 76436] AvgLen: 117.06, AvgRew: 140.77, StdRew: 19.25, Time/Step: 0.0015
[Step 78467] AvgLen: 112.83, AvgRew: 150.46, StdRew: 28.44, Time/Step: 0.0015
[Step 80534] AvgLen: 121.59, AvgRew: 144.13, StdRew: 28.67, Time/Step: 0.0015
[Step 82646] AvgLen: 111.16, AvgRew: 156.98, StdRew: 22.53, Time/Step: 0.0015
[Step 84737] AvgLen: 123.00, AvgRew: 147.99, StdRew: 23.18, Time/Step: 0.0015
[Step 86807] AvgLen: 103.50, AvgRew: 156.18, StdRew: 23.11, Time/Step: 0.0015
[Step 88850] AvgLen: 113.50, AvgRew: 159.76, StdRew: 26.64, Time/Step: 0.0015
[Step 90961] AvgLen: 117.28, AvgRew: 134.50, StdRew: 17.93, Time/Step: 0.0014
[Step 93004] AvgLen: 113.50, AvgRew: 156.74, StdRew: 27.72, Time/Step: 0.0014
[Step 95074] AvgLen: 115.00, AvgRew: 154.95, StdRew: 26.81, Time/Step: 0.0014
