[Step 2044] AvgLen: 92.91, AvgRew: 134.95, StdRew: 14.29, Time/Step: 0.0014
[Step 4108] AvgLen: 93.82, AvgRew: 147.12, StdRew: 17.88, Time/Step: 0.0014
[Step 6187] AvgLen: 109.42, AvgRew: 152.07, StdRew: 19.86, Time/Step: 0.0014
[Step 8238] AvgLen: 107.95, AvgRew: 149.12, StdRew: 20.63, Time/Step: 0.0014
[Step 10300] AvgLen: 108.53, AvgRew: 134.61, StdRew: 16.09, Time/Step: 0.0014
[Step 12308] AvgLen: 111.56, AvgRew: 145.03, StdRew: 18.00, Time/Step: 0.0014
[Step 14340] AvgLen: 96.76, AvgRew: 145.22, StdRew: 20.01, Time/Step: 0.0014
[Step 16346] AvgLen: 118.00, AvgRew: 137.62, StdRew: 25.02, Time/Step: 0.0014
[Step 18418] AvgLen: 109.05, AvgRew: 152.91, StdRew: 13.91, Time/Step: 0.0014
[Step 20474] AvgLen: 120.94, AvgRew: 144.27, StdRew: 25.00, Time/Step: 0.0014
[Step 22517] AvgLen: 107.53, AvgRew: 147.53, StdRew: 22.01, Time/Step: 0.0014
[Step 24536] AvgLen: 112.17, AvgRew: 144.84, StdRew: 20.95, Time/Step: 0.0014
[Step 26574] AvgLen: 113.22, AvgRew: 142.63, StdRew: 18.41, Time/Step: 0.0014
[Step 28658] AvgLen: 122.59, AvgRew: 144.44, StdRew: 23.33, Time/Step: 0.0014
[Step 30710] AvgLen: 120.71, AvgRew: 131.31, StdRew: 16.81, Time/Step: 0.0014
[Step 32723] AvgLen: 118.41, AvgRew: 140.49, StdRew: 21.14, Time/Step: 0.0014
[Step 34793] AvgLen: 108.95, AvgRew: 149.29, StdRew: 19.20, Time/Step: 0.0014
[Step 36812] AvgLen: 118.76, AvgRew: 141.86, StdRew: 19.27, Time/Step: 0.0014
[Step 38916] AvgLen: 110.74, AvgRew: 149.59, StdRew: 18.54, Time/Step: 0.0014
[Step 40943] AvgLen: 119.24, AvgRew: 145.23, StdRew: 23.54, Time/Step: 0.0014
[Step 43036] AvgLen: 116.28, AvgRew: 137.83, StdRew: 20.21, Time/Step: 0.0014
[Step 45063] AvgLen: 106.68, AvgRew: 150.46, StdRew: 21.44, Time/Step: 0.0014
[Step 47163] AvgLen: 116.67, AvgRew: 146.89, StdRew: 19.18, Time/Step: 0.0014
[Step 49185] AvgLen: 112.33, AvgRew: 155.42, StdRew: 24.15, Time/Step: 0.0014
[Step 51201] AvgLen: 112.00, AvgRew: 149.84, StdRew: 25.00, Time/Step: 0.0014
[Step 53305] AvgLen: 123.76, AvgRew: 153.94, StdRew: 30.38, Time/Step: 0.0014
[Step 55337] AvgLen: 119.53, AvgRew: 137.82, StdRew: 20.88, Time/Step: 0.0014
[Step 57471] AvgLen: 118.56, AvgRew: 150.97, StdRew: 22.80, Time/Step: 0.0014
[Step 59524] AvgLen: 136.87, AvgRew: 142.15, StdRew: 27.69, Time/Step: 0.0014
[Step 61600] AvgLen: 109.26, AvgRew: 155.91, StdRew: 25.02, Time/Step: 0.0015
[Step 63623] AvgLen: 112.39, AvgRew: 150.35, StdRew: 20.93, Time/Step: 0.0015
[Step 65702] AvgLen: 115.50, AvgRew: 152.97, StdRew: 27.08, Time/Step: 0.0015
[Step 67721] AvgLen: 126.19, AvgRew: 158.01, StdRew: 31.22, Time/Step: 0.0015
[Step 69786] AvgLen: 121.47, AvgRew: 151.13, StdRew: 29.34, Time/Step: 0.0015
[Step 71832] AvgLen: 120.35, AvgRew: 159.15, StdRew: 31.11, Time/Step: 0.0015
[Step 73897] AvgLen: 114.72, AvgRew: 160.42, StdRew: 27.84, Time/Step: 0.0015
[Step 75972] AvgLen: 129.69, AvgRew: 134.20, StdRew: 27.59, Time/Step: 0.0015
[Step 78006] AvgLen: 119.65, AvgRew: 158.43, StdRew: 31.96, Time/Step: 0.0015
[Step 80029] AvgLen: 126.44, AvgRew: 162.78, StdRew: 23.53, Time/Step: 0.0015
[Step 82082] AvgLen: 128.31, AvgRew: 148.41, StdRew: 37.84, Time/Step: 0.0015
[Step 84167] AvgLen: 122.65, AvgRew: 165.91, StdRew: 26.51, Time/Step: 0.0015
[Step 86207] AvgLen: 120.00, AvgRew: 171.35, StdRew: 28.51, Time/Step: 0.0015
[Step 88212] AvgLen: 117.94, AvgRew: 155.42, StdRew: 29.89, Time/Step: 0.0016
[Step 90321] AvgLen: 117.17, AvgRew: 161.17, StdRew: 28.69, Time/Step: 0.0015
[Step 92376] AvgLen: 120.88, AvgRew: 155.12, StdRew: 28.15, Time/Step: 0.0015
[Step 94443] AvgLen: 129.19, AvgRew: 169.26, StdRew: 32.16, Time/Step: 0.0015
[Step 96496] AvgLen: 128.31, AvgRew: 152.66, StdRew: 33.04, Time/Step: 0.0015
[Step 98508] AvgLen: 125.75, AvgRew: 152.41, StdRew: 31.27, Time/Step: 0.0015
[Step 100584] AvgLen: 138.40, AvgRew: 153.72, StdRew: 38.24, Time/Step: 0.0015
[Step 102590] AvgLen: 125.38, AvgRew: 174.04, StdRew: 35.97, Time/Step: 0.0016
[Step 104631] AvgLen: 127.56, AvgRew: 176.14, StdRew: 40.17, Time/Step: 0.0015
