[Step 2067] AvgLen: 98.43, AvgRew: 132.14, StdRew: 15.06, Time/Step: 0.0015
[Step 4088] AvgLen: 91.86, AvgRew: 140.26, StdRew: 11.49, Time/Step: 0.0014
[Step 6110] AvgLen: 106.42, AvgRew: 140.51, StdRew: 12.93, Time/Step: 0.0015
[Step 8183] AvgLen: 103.65, AvgRew: 135.21, StdRew: 13.69, Time/Step: 0.0015
[Step 10189] AvgLen: 105.58, AvgRew: 131.51, StdRew: 15.11, Time/Step: 0.0015
[Step 12213] AvgLen: 106.53, AvgRew: 136.59, StdRew: 11.58, Time/Step: 0.0015
[Step 14248] AvgLen: 92.50, AvgRew: 134.60, StdRew: 12.20, Time/Step: 0.0015
[Step 16324] AvgLen: 109.26, AvgRew: 129.43, StdRew: 14.46, Time/Step: 0.0015
[Step 18369] AvgLen: 107.63, AvgRew: 134.61, StdRew: 13.61, Time/Step: 0.0015
[Step 20394] AvgLen: 119.12, AvgRew: 137.30, StdRew: 23.77, Time/Step: 0.0015
[Step 22538] AvgLen: 102.10, AvgRew: 136.39, StdRew: 17.70, Time/Step: 0.0015
[Step 24653] AvgLen: 100.71, AvgRew: 140.73, StdRew: 15.85, Time/Step: 0.0015
[Step 26693] AvgLen: 107.37, AvgRew: 140.77, StdRew: 14.65, Time/Step: 0.0015
[Step 28701] AvgLen: 125.50, AvgRew: 130.70, StdRew: 15.24, Time/Step: 0.0015
[Step 30808] AvgLen: 105.35, AvgRew: 132.70, StdRew: 12.26, Time/Step: 0.0015
[Step 32885] AvgLen: 109.32, AvgRew: 136.54, StdRew: 17.96, Time/Step: 0.0015
[Step 34922] AvgLen: 107.21, AvgRew: 132.89, StdRew: 8.40, Time/Step: 0.0015
[Step 36960] AvgLen: 107.26, AvgRew: 137.86, StdRew: 15.50, Time/Step: 0.0015
[Step 39031] AvgLen: 115.06, AvgRew: 136.43, StdRew: 15.03, Time/Step: 0.0015
[Step 41040] AvgLen: 105.74, AvgRew: 130.43, StdRew: 15.68, Time/Step: 0.0015
[Step 43046] AvgLen: 105.58, AvgRew: 138.83, StdRew: 14.77, Time/Step: 0.0015
[Step 45103] AvgLen: 102.85, AvgRew: 135.24, StdRew: 14.05, Time/Step: 0.0015
[Step 47179] AvgLen: 109.26, AvgRew: 138.23, StdRew: 14.90, Time/Step: 0.0015
[Step 49207] AvgLen: 106.74, AvgRew: 146.60, StdRew: 18.80, Time/Step: 0.0015
[Step 51247] AvgLen: 113.33, AvgRew: 139.11, StdRew: 23.99, Time/Step: 0.0015
[Step 53320] AvgLen: 98.71, AvgRew: 134.43, StdRew: 14.57, Time/Step: 0.0015
[Step 55406] AvgLen: 109.79, AvgRew: 136.63, StdRew: 20.55, Time/Step: 0.0015
[Step 57516] AvgLen: 117.22, AvgRew: 136.35, StdRew: 19.55, Time/Step: 0.0015
[Step 59529] AvgLen: 105.95, AvgRew: 147.93, StdRew: 24.83, Time/Step: 0.0015
