[Step 2032] AvgLen: 70.07, AvgRew: 147.60, StdRew: 16.80, Time/Step: 0.0002
[Step 4068] AvgLen: 72.71, AvgRew: 150.84, StdRew: 16.11, Time/Step: 0.0002
[Step 6121] AvgLen: 76.04, AvgRew: 153.29, StdRew: 17.85, Time/Step: 0.0002
[Step 8131] AvgLen: 74.44, AvgRew: 148.62, StdRew: 13.22, Time/Step: 0.0002
[Step 10147] AvgLen: 72.00, AvgRew: 151.04, StdRew: 14.34, Time/Step: 0.0002
[Step 12199] AvgLen: 78.92, AvgRew: 145.12, StdRew: 17.72, Time/Step: 0.0002
[Step 14231] AvgLen: 81.28, AvgRew: 150.18, StdRew: 21.27, Time/Step: 0.0002
[Step 16306] AvgLen: 74.11, AvgRew: 154.07, StdRew: 18.26, Time/Step: 0.0002
[Step 18324] AvgLen: 72.07, AvgRew: 149.89, StdRew: 16.92, Time/Step: 0.0002
[Step 20402] AvgLen: 86.58, AvgRew: 149.32, StdRew: 19.34, Time/Step: 0.0002
[Step 22409] AvgLen: 77.19, AvgRew: 145.33, StdRew: 13.48, Time/Step: 0.0002
[Step 24423] AvgLen: 74.59, AvgRew: 149.66, StdRew: 16.77, Time/Step: 0.0002
[Step 26475] AvgLen: 70.76, AvgRew: 149.33, StdRew: 14.75, Time/Step: 0.0002
[Step 28539] AvgLen: 73.71, AvgRew: 149.33, StdRew: 16.95, Time/Step: 0.0002
[Step 30580] AvgLen: 78.50, AvgRew: 144.33, StdRew: 14.38, Time/Step: 0.0002
[Step 32664] AvgLen: 74.43, AvgRew: 148.16, StdRew: 14.86, Time/Step: 0.0002
[Step 34707] AvgLen: 72.96, AvgRew: 148.28, StdRew: 16.46, Time/Step: 0.0002
[Step 36714] AvgLen: 74.33, AvgRew: 149.43, StdRew: 18.25, Time/Step: 0.0002
[Step 38715] AvgLen: 76.96, AvgRew: 150.31, StdRew: 21.90, Time/Step: 0.0002
[Step 40772] AvgLen: 79.12, AvgRew: 150.98, StdRew: 15.82, Time/Step: 0.0002
[Step 42800] AvgLen: 72.43, AvgRew: 149.62, StdRew: 13.24, Time/Step: 0.0002
[Step 44831] AvgLen: 78.12, AvgRew: 153.31, StdRew: 15.81, Time/Step: 0.0002
[Step 46902] AvgLen: 73.96, AvgRew: 148.06, StdRew: 18.52, Time/Step: 0.0002
[Step 48938] AvgLen: 72.71, AvgRew: 151.97, StdRew: 16.44, Time/Step: 0.0002
[Step 50950] AvgLen: 77.38, AvgRew: 139.88, StdRew: 15.65, Time/Step: 0.0002
[Step 52955] AvgLen: 74.26, AvgRew: 148.02, StdRew: 15.13, Time/Step: 0.0002
[Step 55039] AvgLen: 77.19, AvgRew: 152.50, StdRew: 18.04, Time/Step: 0.0002
[Step 57039] AvgLen: 80.00, AvgRew: 155.55, StdRew: 17.62, Time/Step: 0.0002
[Step 59102] AvgLen: 76.41, AvgRew: 151.03, StdRew: 17.58, Time/Step: 0.0002
[Step 61157] AvgLen: 82.20, AvgRew: 145.97, StdRew: 22.07, Time/Step: 0.0002
[Step 63198] AvgLen: 81.64, AvgRew: 151.97, StdRew: 19.96, Time/Step: 0.0002
[Step 65236] AvgLen: 72.79, AvgRew: 143.73, StdRew: 14.31, Time/Step: 0.0002
[Step 67239] AvgLen: 83.46, AvgRew: 155.67, StdRew: 18.80, Time/Step: 0.0002
[Step 69274] AvgLen: 81.40, AvgRew: 157.20, StdRew: 13.45, Time/Step: 0.0002
[Step 71277] AvgLen: 80.12, AvgRew: 151.58, StdRew: 15.94, Time/Step: 0.0002
[Step 73358] AvgLen: 77.07, AvgRew: 151.42, StdRew: 19.08, Time/Step: 0.0002
[Step 75379] AvgLen: 74.85, AvgRew: 150.87, StdRew: 17.01, Time/Step: 0.0002
[Step 77424] AvgLen: 68.17, AvgRew: 144.82, StdRew: 13.20, Time/Step: 0.0002
[Step 79483] AvgLen: 76.26, AvgRew: 147.20, StdRew: 16.85, Time/Step: 0.0002
[Step 81515] AvgLen: 72.57, AvgRew: 146.19, StdRew: 12.80, Time/Step: 0.0002
[Step 83534] AvgLen: 74.78, AvgRew: 148.17, StdRew: 13.97, Time/Step: 0.0002
[Step 85553] AvgLen: 69.62, AvgRew: 148.89, StdRew: 13.67, Time/Step: 0.0002
[Step 87559] AvgLen: 71.64, AvgRew: 146.60, StdRew: 14.84, Time/Step: 0.0002
[Step 89560] AvgLen: 74.11, AvgRew: 153.04, StdRew: 15.72, Time/Step: 0.0002
[Step 91588] AvgLen: 72.43, AvgRew: 151.81, StdRew: 14.41, Time/Step: 0.0002
[Step 93588] AvgLen: 71.43, AvgRew: 146.22, StdRew: 14.35, Time/Step: 0.0002
[Step 95599] AvgLen: 74.48, AvgRew: 144.90, StdRew: 15.78, Time/Step: 0.0002
[Step 97653] AvgLen: 73.36, AvgRew: 151.44, StdRew: 16.64, Time/Step: 0.0002
[Step 99712] AvgLen: 71.00, AvgRew: 144.94, StdRew: 14.74, Time/Step: 0.0002
[Step 101747] AvgLen: 75.37, AvgRew: 148.39, StdRew: 16.49, Time/Step: 0.0002
[Step 103748] AvgLen: 74.11, AvgRew: 153.04, StdRew: 17.29, Time/Step: 0.0002
[Step 105750] AvgLen: 77.00, AvgRew: 148.70, StdRew: 17.40, Time/Step: 0.0002
[Step 107757] AvgLen: 77.19, AvgRew: 148.79, StdRew: 18.01, Time/Step: 0.0002
[Step 109836] AvgLen: 77.00, AvgRew: 152.46, StdRew: 22.60, Time/Step: 0.0002
[Step 111875] AvgLen: 72.82, AvgRew: 151.48, StdRew: 16.74, Time/Step: 0.0002
[Step 113893] AvgLen: 72.07, AvgRew: 146.67, StdRew: 10.66, Time/Step: 0.0002
[Step 115908] AvgLen: 74.63, AvgRew: 149.84, StdRew: 14.68, Time/Step: 0.0002
[Step 117958] AvgLen: 89.13, AvgRew: 151.63, StdRew: 18.82, Time/Step: 0.0002
[Step 119992] AvgLen: 75.33, AvgRew: 148.69, StdRew: 17.08, Time/Step: 0.0002
